,0
0,82.14119233421779
1,82.28330994196055
2,33.206734424607795
3,30.011254261744284
4,59.45936436099486
5,68.99167219403674
6,57.54440347594628
7,72.6457595844383
8,59.692486468833266
9,62.028570718287824
10,62.30279587186975
11,55.579761905296664
12,57.96680514147876
13,65.17739827539137
14,59.15287196203258
15,69.61288138394433
16,63.971720631870355
17,54.94481437170997
18,46.02557064701106
19,33.212260691249185
20,33.45451767850633
21,58.75212838117402
22,62.90800289670427
23,69.62567877972924
24,69.1565089727394
25,65.11375834740595
26,71.71381328978005
27,58.95059269694025
28,57.08736023670403
29,74.69903756374491
30,62.76237858276626
31,65.62275758925685
32,62.611304838707724
33,73.06022233876139
34,54.12625238248965
35,66.74884587736909
36,58.366912231200146
37,64.9635079342718
38,65.5635747934391
39,64.80303249167049
40,65.90788017845304
41,58.984007751070564
42,49.62340764298181
43,60.0770369763726
44,53.11303506568776
45,63.124468127763656
46,63.289950475931306
47,57.539633230216836
48,67.81643473634622
49,60.478776072617414
50,60.96425319413109
51,72.22621408189995
52,61.11411909292187
53,71.52237943323955
54,65.92987743584844
55,61.08269432928674
56,55.924129596866564
57,68.22580821992766
58,55.90644891201044
59,57.270094506941106
60,76.02605509613358
61,69.35735972058819
62,65.22074038149887
