,0
0,42.17654078105042
1,19.51511202379502
2,17.48319067017046
3,48.83321704080353
4,29.74279872972731
5,41.24477657813992
6,46.192007142953905
7,33.89022460973011
8,27.430799971887748
9,35.401178977914306
10,38.669310110755156
11,30.29039957859262
12,37.378582687609395
13,34.75494121410104
14,35.01083336979781
15,31.321239737268826
16,40.64958058884331
17,38.37317399417082
18,45.17832858420006
19,26.554942074262662
20,28.79357197169526
21,27.8201724810505
22,34.892890887868774
23,27.06767429839389
24,35.786744313697604
25,31.736451885344238
26,36.02968734174124
27,37.20937417446353
28,36.82933617414465
29,31.300331402757866
30,44.279148091240984
31,33.18624248544007
32,31.23036132141989
33,34.24364125130734
34,38.66081541320402
35,33.97880647312652
36,44.441700002655345
37,28.984100743161054
38,28.20366460182573
39,43.10303477667248
40,22.047742239614188
41,45.89079263328404
42,50.272073574841855
43,51.86644301633282
44,52.19917126072181
45,36.6144193077897
46,47.58500305280806
47,22.247101165437734
48,50.83794417719767
49,25.60018716545605
50,40.626202756099005
51,48.69635033147663
52,51.907032135744245
53,45.81930072803411
54,35.917884419918636
55,37.907091011261755
56,39.51811770806519
57,53.700924701268185
58,40.000691012011536
59,21.824378077133943
60,47.52284312682558
61,50.93494742680534
62,45.18316737372943
63,36.297960455946296
64,58.38215295770446
65,18.041917075873563
66,41.98477333439658
67,24.399157003486607
68,22.68552127810172
69,53.4585401107809
70,18.39045983234746
71,52.3359600708064
72,38.203993420669924
73,26.068640101757058
74,37.98232566464846
75,51.76603128353115
76,25.169572540472295
77,28.176867320154013
78,34.5990485395531
79,39.33166695059329
80,46.32833217192147
81,30.217531794316614
82,27.16452260096687
83,45.35498763422443
84,41.497459978882844
85,70.58375311094375
86,73.86726143451298
87,54.229088308127416
88,47.8477955887115
89,56.21425745952172
90,37.03829495458056
91,56.012545156908786
92,56.259741645403636
93,64.54762697562667
94,61.94709709580924
95,68.38410964796181
96,41.478665130125016
97,25.577365250528743
98,57.543378329020726
99,44.68945750793844
100,18.888011661226077
101,44.59251259432174
102,56.68932609367319
103,54.76847782195234
104,49.551188960411835
105,74.51505681671121
106,64.5694751768117
107,59.356339359838934
108,43.161224820679564
109,31.76405469069048
110,47.396018959664474
111,45.55715096983701
112,50.2554927633233
113,56.68720126178347
114,34.82399030963281
115,39.02852139496517
116,48.53973915324489
117,25.061356566896386
118,40.33209323842608
119,52.80139272381276
120,35.97762448130621
121,55.37590939190349
122,48.45425062882155
123,58.448476513549465
124,62.628993917634425
125,57.2009019306079
126,64.09674978232717
127,63.891553894205074
128,21.004258399936692
129,42.52050859876508
130,53.37229450235382
131,57.193126322980916
132,20.80469517118214
133,46.282316819986065
134,51.98209860221301
135,47.86528388637284
136,53.193137411651385
137,49.97149996883076
138,58.91865111960669
139,59.78617595010442
140,57.10600713125389
141,58.851592027672375
142,49.18791104285145
143,61.389227318098136
144,54.14354193063957
145,65.06433298162068
146,33.96132248091031
147,35.636792973977585
148,37.40629184429371
149,32.40947077234256
150,39.95253716594416
151,40.047478699157914
152,38.326431351240274
153,36.091396329967026
154,40.49575429104312
155,36.662020758237844
156,35.40115475489988
157,38.293837166479236
158,37.58549943539817
159,36.80241633398874
160,35.48652127972979
161,34.39350141231441
162,35.98381397002301
163,37.103146763750495
164,31.51759896074153
165,34.814773862688874
166,34.65437560339352
167,35.74817512308206
168,37.18276649030468
169,35.61823450984843
170,36.45333585355752
171,33.91951351730668
172,35.06043279162856
173,35.00619900106021
174,33.083045138186264
175,31.07318687875249
176,33.39846345194144
177,36.55348342766413
178,35.6832951483806
179,35.69976796008238
180,35.89626400177307
181,36.15624943215402
182,33.51035618919971
183,33.10424161134229
184,33.831368441032275
185,33.34195083271071
186,33.25196107492832
187,32.61579310148023
188,36.17856765971287
189,36.36099654397326
190,14.787448825676062
191,6.5966395873785935
192,39.78008640722791
193,39.75617771192935
