,0
0,82.54309226623023
1,82.66756351182642
2,33.323319006871124
3,29.983828715223282
4,59.32921906377262
5,68.97918339608198
6,57.52082122384542
7,72.78365413282286
8,59.65443273564426
9,62.042769013995176
10,62.18595767735476
11,55.542676514318565
12,57.71856192262964
13,65.19527124316512
14,59.129817060671414
15,69.63917724067963
16,63.93503716137718
17,54.74012642813645
18,45.88605422412173
19,32.830595496736294
20,33.88191497264035
21,59.019582233086496
22,62.84766788414741
23,69.53315163720409
24,69.11919787957908
25,65.06410962144196
26,71.65724346161649
27,58.82518078275689
28,57.07107935957573
29,74.75235410122602
30,62.74667333137256
31,65.62681357650638
32,62.56234895519526
33,73.10568332373859
34,54.16474082528782
35,66.84431559404618
36,58.395096174288405
37,64.98746169234519
38,65.49956952678644
39,64.5986732847135
40,65.73814187719913
41,58.95111519066387
42,49.57897995138434
43,60.161938998182265
44,52.87376721947088
45,62.97589259365026
46,63.34486274921498
47,57.57417641346303
48,67.49564409021363
49,60.49591434493684
50,61.017170728408104
51,72.24612451297149
52,61.067113864496875
53,71.53212746046167
54,65.94058875771711
55,61.188940389488096
56,56.03194562127129
57,68.29346370806722
58,55.956347725021004
59,57.363327242709445
60,75.8514580059656
61,69.34722617101038
62,65.21584165238559
